"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_key_finish_reading","correct_key_response","correct_response","count_end_of_experiment","count_experiment","count_instructions","count_key_finish_reading","count_key_response","count_logger","count_prepare_show_screen","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_question","count_save_screen","count_screenshot","count_trial_loop","count_trial_sequence","count_wait_for_eyeTribe","datetime","delay_wait_for_eyeTribe","description","disable_garbage_collection","driftX","driftY","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","option_1","option_2","question","repeat_cycle","response","response_end_of_experiment","response_instructions","response_key_finish_reading","response_key_response","response_time","response_time_end_of_experiment","response_time_instructions","response_time_key_finish_reading","response_time_key_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_id","stimulus","subject_nr","subject_parity","time_end_of_experiment","time_experiment","time_instructions","time_key_finish_reading","time_key_response","time_logger","time_prepare_show_screen","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_question","time_save_screen","time_screenshot","time_trial_loop","time_trial_sequence","time_wait_for_eyeTribe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","6671","6671","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","NA","12/07/18 11:08:24","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","0","0","C:/Users/Admin/Desktop/eyeTribe sentence reading/Clara.csv","legacy","Kafkaesque Koffka","3.2.5","a) Policemen.","b) Soldiers.","Who was heavily armed?","0","right","NA","space","space","right","10749","NA","3286","2593","10749","2","legacy","1024","2","48000","-16","experiment","6","After the terror attack, heavily armed soldiers patrolled the streets of Paris.","4","even","NA","678","681","36750","39346","50563","36728","25353","3968","50340","36727","50308","39346","NA","50095","25296","25353","NA","EyeTribe Reading Experiment","0","13342","2","no","1680"
"0","0","6425.5","6425.5","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","1","1","1","1","1","0","1","1","1","1","NA","1","0","1","NA","12/07/18 11:08:24","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","1","1","C:/Users/Admin/Desktop/eyeTribe sentence reading/Clara.csv","legacy","Kafkaesque Koffka","3.2.5","a) Fathers.","b) Mothers.","Who shows protective behavior?","0","left","NA","space","space","left","9645","NA","3286","2715","9645","2","legacy","1024","2","48000","-16","experiment","10","They observed that fathers of daughters show a tendency for protective behavior.","4","even","NA","678","681","82580","85298","95410","82560","50670","3968","95188","82559","95153","85298","NA","94943","25296","50670","NA","EyeTribe Reading Experiment","0","25702","4","no","1680"
"0","0","5211.33333333","5211.33333333","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","2","2","2","2","2","0","2","2","2","2","NA","2","0","2","NA","12/07/18 11:08:24","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","2","2","C:/Users/Admin/Desktop/eyeTribe sentence reading/Clara.csv","legacy","Kafkaesque Koffka","3.2.5","a) math.","b) physics.","I hated:","0","left","NA","space","space","left","3459","NA","3286","2107","3459","2","legacy","1024","2","48000","-16","experiment","5","Although I really hated mathematics in school, I became a decent engineer. ","4","even","NA","678","681","98796","100907","104832","98775","95501","3968","104609","98774","104579","100907","NA","104367","25296","95501","NA","EyeTribe Reading Experiment","0","31268","6","no","1680"
"0","0","5021.25","5021.25","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","3","3","3","3","3","0","3","3","3","3","NA","3","0","3","NA","12/07/18 11:08:24","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","3","3","C:/Users/Admin/Desktop/eyeTribe sentence reading/Clara.csv","legacy","Kafkaesque Koffka","3.2.5","a) easily damaged.","b) indestructible.","Young people’s self-esteem is:","0","left","NA","space","space","left","6964","NA","3286","1938","6964","2","legacy","1024","2","48000","-16","experiment","9","Long term unemployment can damage a person’s self esteem, particularly for young people. ","4","even","NA","678","681","107461","109402","116824","107439","104919","3968","116603","107439","116588","109402","NA","116367","25296","104919","NA","EyeTribe Reading Experiment","0","40170","8","no","1680"
"0","0","5328.1","5328.1","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","4","4","4","4","4","0","4","4","4","4","NA","4","0","4","NA","12/07/18 11:08:24","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","4","4","C:/Users/Admin/Desktop/eyeTribe sentence reading/Clara.csv","legacy","Kafkaesque Koffka","3.2.5","a) No way, I am a dog person.","b) True fact, cats rule the world. ","What is your opinion? ","0","left","NA","space","space","left","7852","NA","3286","5259","7852","2","legacy","1024","2","48000","-16","experiment","7","Some say that the internet was initially created for sharing pictures of cute cats.","4","even","NA","678","681","118516","123778","132107","118495","116913","3968","131887","118494","131844","123778","NA","131631","25296","116913","NA","EyeTribe Reading Experiment","0","53281","10","no","1680"
"0","0","5111.91666667","5111.91666667","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","5","5","5","5","5","0","5","5","5","5","NA","5","0","5","NA","12/07/18 11:08:24","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","5","5","C:/Users/Admin/Desktop/eyeTribe sentence reading/Clara.csv","legacy","Kafkaesque Koffka","3.2.5","a) a park.","b) a lake.","The penguins went to:","0","left","NA","space","space","left","3172","NA","3286","4890","3172","2","legacy","1024","2","48000","-16","experiment","3","Several penguins escaped their cages in the zoo and went for a walk in the park.","4","even","NA","678","681","134732","139626","143268","134711","132204","3968","143048","134710","143011","139626","NA","142799","25296","132203","NA","EyeTribe Reading Experiment","0","61343","12","no","1680"
"0","0","4932.85714286","4932.85714286","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","6","6","6","6","6","0","6","6","6","6","NA","6","0","6","NA","12/07/18 11:08:24","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","6","6","C:/Users/Admin/Desktop/eyeTribe sentence reading/Clara.csv","legacy","Kafkaesque Koffka","3.2.5","a) shabby.","b) fancy.","The neighborhood is:","0","left","NA","space","space","left","4084","NA","3286","3633","4084","2","legacy","1024","2","48000","-16","experiment","8","Mark and Shelley found an apartment in one of the fancy neighborhoods of London.","4","even","NA","678","681","145293","148930","153471","145271","143356","3968","153247","145270","153227","148930","NA","153015","25296","143356","NA","EyeTribe Reading Experiment","0","69060","14","no","1680"
"0","0","4768.625","4768.625","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","7","7","7","7","7","0","7","7","7","7","NA","7","0","7","NA","12/07/18 11:08:24","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","7","7","C:/Users/Admin/Desktop/eyeTribe sentence reading/Clara.csv","legacy","Kafkaesque Koffka","3.2.5","a) pigeons.","b) cats.","The old lady feeds:","0","left","NA","space","space","left","3036","NA","3286","4202","3036","2","legacy","1024","2","48000","-16","experiment","2","The strange old lady who usually feeds the cats suddenly disappeared.","4","even","NA","678","681","155028","159234","162727","155007","153562","3968","162507","155006","162483","159234","NA","162271","25296","153562","NA","EyeTribe Reading Experiment","0","76298","16","no","1680"
"0","0","4673.33333333","4673.33333333","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","8","8","8","8","8","0","8","8","8","8","NA","8","0","8","NA","12/07/18 11:08:24","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","8","8","C:/Users/Admin/Desktop/eyeTribe sentence reading/Clara.csv","legacy","Kafkaesque Koffka","3.2.5","a) fishing.","b) hiking.","The kids went: ","0","left","NA","space","space","left","3180","NA","3286","4642","3180","2","legacy","1024","2","48000","-16","experiment","1","Tom’s father used to go fishing with his kids until they became vegetarian.","4","even","NA","678","681","164140","168786","172422","164119","162813","3968","172199","164118","172182","168785","NA","171966","25296","162813","NA","EyeTribe Reading Experiment","0","84120","18","no","1680"
"0","0","4638.65","4638.65","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","9","9","9","9","9","0","9","9","9","9","NA","9","0","9","NA","12/07/18 11:08:24","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","9","9","C:/Users/Admin/Desktop/eyeTribe sentence reading/Clara.csv","legacy","Kafkaesque Koffka","3.2.5","a) Yes.","b) No.","Did Joe go to rehab?","0","left","NA","space","space","left","3620","NA","3286","5033","3620","2","legacy","1024","2","48000","-16","experiment","4","Even as Joe’s drug addiction became obvious, he denied having a problem.","4","even","NA","678","681","173917","178954","183035","173895","172507","3968","182814","173894","182787","178954","NA","182575","25296","172507","NA","EyeTribe Reading Experiment","0","92773","20","no","1680"
