"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_key_finish_reading","correct_key_response","correct_response","count_end_of_experiment","count_experiment","count_instructions","count_key_finish_reading","count_key_response","count_logger","count_prepare_show_screen","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_question","count_save_screen","count_screenshot","count_trial_loop","count_trial_sequence","count_wait_for_eyeTribe","datetime","delay_wait_for_eyeTribe","description","disable_garbage_collection","driftX","driftY","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","option_1","option_2","question","repeat_cycle","response","response_end_of_experiment","response_instructions","response_key_finish_reading","response_key_response","response_time","response_time_end_of_experiment","response_time_instructions","response_time_key_finish_reading","response_time_key_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_id","stimulus","subject_nr","subject_parity","time_end_of_experiment","time_experiment","time_instructions","time_key_finish_reading","time_key_response","time_logger","time_prepare_show_screen","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_question","time_save_screen","time_screenshot","time_trial_loop","time_trial_sequence","time_wait_for_eyeTribe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2840","2840","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","NA","12/07/18 10:40:00","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","0","0","C:/Users/Admin/Desktop/eyeTribe sentence reading/Ernst.csv","legacy","Kafkaesque Koffka","3.2.5","a) pigeons.","b) cats.","The old lady feeds:","0","right","NA","space","space","right","1877","NA","47302","3803","1877","2","legacy","1024","2","48000","-16","experiment","2","The strange old lady who usually feeds the cats suddenly disappeared.","1","odd","NA","697","700","104311","108117","110440","104290","103104","48003","110219","104290","110207","108117","NA","109994","103051","103104","NA","EyeTribe Reading Experiment","0","5680","2","no","1680"
"0","0","3835.5","3835.5","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","1","1","1","1","1","0","1","1","1","1","NA","1","0","1","NA","12/07/18 10:40:00","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","1","1","C:/Users/Admin/Desktop/eyeTribe sentence reading/Ernst.csv","legacy","Kafkaesque Koffka","3.2.5","a) easily damaged.","b) indestructible.","Young people’s self-esteem is:","0","left","NA","space","space","left","4540","NA","47302","5122","4540","2","legacy","1024","2","48000","-16","experiment","9","Long term unemployment can damage a person’s self esteem, particularly for young people. ","1","odd","NA","697","700","111640","116766","121758","111619","110566","48003","121534","111618","121519","116766","NA","121306","103051","110566","NA","EyeTribe Reading Experiment","0","15342","4","no","1680"
"0","0","3491.5","3491.5","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","2","2","2","2","2","0","2","2","2","2","NA","2","0","2","NA","12/07/18 10:40:00","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","2","2","C:/Users/Admin/Desktop/eyeTribe sentence reading/Ernst.csv","legacy","Kafkaesque Koffka","3.2.5","a) math.","b) physics.","I hated:","0","left","NA","space","space","left","1572","NA","47302","4035","1572","2","legacy","1024","2","48000","-16","experiment","5","Although I really hated mathematics in school, I became a decent engineer. ","1","odd","NA","697","700","122903","126942","128973","122883","121842","48003","128750","122882","128732","126941","NA","128514","103051","121842","NA","EyeTribe Reading Experiment","0","20949","6","no","1680"
"0","0","3554.5","3554.5","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","3","3","3","3","3","0","3","3","3","3","NA","3","0","3","NA","12/07/18 10:40:00","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","3","3","C:/Users/Admin/Desktop/eyeTribe sentence reading/Ernst.csv","legacy","Kafkaesque Koffka","3.2.5","a) No way, I am a dog person.","b) True fact, cats rule the world. ","What is your opinion? ","0","right","NA","space","space","right","2716","NA","47302","4771","2716","2","legacy","1024","2","48000","-16","experiment","7","Some say that the internet was initially created for sharing pictures of cute cats.","1","odd","NA","697","700","130935","135710","138888","130914","129081","48003","138667","130914","138640","135709","NA","138426","103051","129081","NA","EyeTribe Reading Experiment","0","28436","8","no","1680"
"0","0","3455.4","3455.4","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","4","4","4","4","4","0","4","4","4","4","NA","4","0","4","NA","12/07/18 10:40:00","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","4","4","C:/Users/Admin/Desktop/eyeTribe sentence reading/Ernst.csv","legacy","Kafkaesque Koffka","3.2.5","a) Yes.","b) No.","Did Joe go to rehab?","0","right","NA","space","space","right","2572","NA","47302","3546","2572","2","legacy","1024","2","48000","-16","experiment","4","Even as Joe’s drug addiction became obvious, he denied having a problem.","1","odd","NA","697","700","146312","149861","152908","146290","138972","48003","152684","146290","152647","149861","NA","152434","103051","138972","NA","EyeTribe Reading Experiment","0","34554","10","no","1680"
"0","0","3418.83333333","3418.83333333","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","5","5","5","5","5","0","5","5","5","5","NA","5","0","5","NA","12/07/18 10:40:00","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","5","5","C:/Users/Admin/Desktop/eyeTribe sentence reading/Ernst.csv","legacy","Kafkaesque Koffka","3.2.5","a) Policemen.","b) Soldiers.","Who was heavily armed?","0","left","NA","space","space","left","2229","NA","47302","4243","2229","2","legacy","1024","2","48000","-16","experiment","6","After the terror attack, heavily armed soldiers patrolled the streets of Paris.","1","odd","NA","697","700","155487","159733","162423","155466","152990","48003","162201","155466","162175","159733","NA","161962","103051","152990","NA","EyeTribe Reading Experiment","0","41026","12","no","1680"
"0","0","3340.07142857","3340.07142857","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","6","6","6","6","6","0","6","6","6","6","NA","6","0","6","NA","12/07/18 10:40:00","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","6","6","C:/Users/Admin/Desktop/eyeTribe sentence reading/Ernst.csv","legacy","Kafkaesque Koffka","3.2.5","a) shabby.","b) fancy.","The neighborhood is:","0","right","NA","space","space","right","1765","NA","47302","3970","1765","2","legacy","1024","2","48000","-16","experiment","8","Mark and Shelley found an apartment in one of the fancy neighborhoods of London.","1","odd","NA","697","700","164271","168245","170464","164250","162509","48003","170241","164250","170223","168245","NA","170010","103051","162509","NA","EyeTribe Reading Experiment","0","46761","14","no","1680"
"0","0","3240.4375","3240.4375","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","7","7","7","7","7","0","7","7","7","7","NA","7","0","7","NA","12/07/18 10:40:00","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","7","7","C:/Users/Admin/Desktop/eyeTribe sentence reading/Ernst.csv","legacy","Kafkaesque Koffka","3.2.5","a) a park.","b) a lake.","The penguins went to:","0","left","NA","space","space","left","1228","NA","47302","3858","1228","2","legacy","1024","2","48000","-16","experiment","3","Several penguins escaped their cages in the zoo and went for a walk in the park.","1","odd","NA","697","700","188191","192053","193746","188170","170556","48003","193524","188169","193494","192053","NA","193282","103051","170556","NA","EyeTribe Reading Experiment","0","51847","16","no","1680"
"0","0","3140.27777778","3140.27777778","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","8","8","8","8","8","0","8","8","8","8","NA","8","0","8","NA","12/07/18 10:40:00","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","8","8","C:/Users/Admin/Desktop/eyeTribe sentence reading/Ernst.csv","legacy","Kafkaesque Koffka","3.2.5","a) Fathers.","b) Mothers.","Who shows protective behavior?","0","left","NA","space","space","left","1340","NA","47302","3338","1340","2","legacy","1024","2","48000","-16","experiment","10","They observed that fathers of daughters show a tendency for protective behavior.","1","odd","NA","697","700","194735","198077","199872","194714","193831","48003","199650","194714","199631","198077","NA","199418","103051","193831","NA","EyeTribe Reading Experiment","0","56525","18","no","1680"
"0","0","3056.6","3056.6","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","9","9","9","9","9","0","9","9","9","9","NA","9","0","9","NA","12/07/18 10:40:00","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","9","9","C:/Users/Admin/Desktop/eyeTribe sentence reading/Ernst.csv","legacy","Kafkaesque Koffka","3.2.5","a) fishing.","b) hiking.","The kids went: ","0","left","NA","space","space","left","1164","NA","47302","3443","1164","2","legacy","1024","2","48000","-16","experiment","1","Tom’s father used to go fishing with his kids until they became vegetarian.","1","odd","NA","697","700","200566","204013","205647","200546","199955","48003","205424","200545","205391","204013","NA","205178","103051","199954","NA","EyeTribe Reading Experiment","0","61132","20","no","1680"
