"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_key_finish_reading","correct_key_response","correct_response","count_end_of_experiment","count_experiment","count_instructions","count_key_finish_reading","count_key_response","count_logger","count_prepare_show_screen","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_question","count_save_screen","count_screenshot","count_trial_loop","count_trial_sequence","count_wait_for_eyeTribe","datetime","delay_wait_for_eyeTribe","description","disable_garbage_collection","driftX","driftY","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","option_1","option_2","question","repeat_cycle","response","response_end_of_experiment","response_instructions","response_key_finish_reading","response_key_response","response_time","response_time_end_of_experiment","response_time_instructions","response_time_key_finish_reading","response_time_key_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_id","stimulus","subject_nr","subject_parity","time_end_of_experiment","time_experiment","time_instructions","time_key_finish_reading","time_key_response","time_logger","time_prepare_show_screen","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_question","time_save_screen","time_screenshot","time_trial_loop","time_trial_sequence","time_wait_for_eyeTribe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","7087","7087","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","NA","12/07/18 13:00:36","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","0","0","C:/Users/Admin/Desktop/eyeTribe sentence reading/Friedrich.csv","legacy","Kafkaesque Koffka","3.2.5","a) Yes.","b) No.","Did Joe go to rehab?","0","right","NA","space","space","right","8820","NA","48660","5354","8820","2","legacy","1024","2","48000","-16","experiment","4","Even as Joe’s drug addiction became obvious, he denied having a problem.","5","odd","NA","683","686","92496","97854","107125","92474","89505","49347","106901","92474","106887","97853","NA","106674","89451","89504","NA","EyeTribe Reading Experiment","0","14174","2","no","1680"
"0","0","5416.75","5416.75","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","1","1","1","1","1","0","1","1","1","1","NA","1","0","1","NA","12/07/18 13:00:36","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","1","1","C:/Users/Admin/Desktop/eyeTribe sentence reading/Friedrich.csv","legacy","Kafkaesque Koffka","3.2.5","a) Policemen.","b) Soldiers.","Who was heavily armed?","0","right","NA","space","space","right","2964","NA","48660","4529","2964","2","legacy","1024","2","48000","-16","experiment","6","After the terror attack, heavily armed soldiers patrolled the streets of Paris.","5","odd","NA","683","686","109552","114086","117510","109530","107239","49347","117290","109530","117263","114086","NA","117050","89451","107238","NA","EyeTribe Reading Experiment","0","21667","4","no","1680"
"0","0","4848.16666667","4848.16666667","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","2","2","2","2","2","0","2","2","2","2","NA","2","0","2","NA","12/07/18 13:00:36","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","2","2","C:/Users/Admin/Desktop/eyeTribe sentence reading/Friedrich.csv","legacy","Kafkaesque Koffka","3.2.5","a) easily damaged.","b) indestructible.","Young people’s self-esteem is:","0","left","NA","space","space","left","3637","NA","48660","3785","3637","2","legacy","1024","2","48000","-16","experiment","9","Long term unemployment can damage a person’s self esteem, particularly for young people. ","5","odd","NA","683","686","119641","123429","127536","119618","117599","49347","127316","119618","127286","123429","NA","127066","89451","117599","NA","EyeTribe Reading Experiment","0","29089","6","no","1680"
"0","0","5345.875","5345.875","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","3","3","3","3","3","0","3","3","3","3","NA","3","0","3","NA","12/07/18 13:00:36","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","3","3","C:/Users/Admin/Desktop/eyeTribe sentence reading/Friedrich.csv","legacy","Kafkaesque Koffka","3.2.5","a) Fathers.","b) Mothers.","Who shows protective behavior?","0","left","NA","space","space","left","5588","NA","48660","8090","5588","2","legacy","1024","2","48000","-16","experiment","10","They observed that fathers of daughters show a tendency for protective behavior.","5","odd","NA","683","686","128952","137045","143101","128930","127624","49347","142879","128930","142848","137045","NA","142634","89451","127624","NA","EyeTribe Reading Experiment","0","42767","8","no","1680"
"0","0","5348.6","5348.6","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","4","4","4","4","4","0","4","4","4","4","NA","4","0","4","NA","12/07/18 13:00:36","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","4","4","C:/Users/Admin/Desktop/eyeTribe sentence reading/Friedrich.csv","legacy","Kafkaesque Koffka","3.2.5","a) math.","b) physics.","I hated:","0","left","NA","space","space","left","1509","NA","48660","9210","1509","2","legacy","1024","2","48000","-16","experiment","5","Although I really hated mathematics in school, I became a decent engineer. ","5","odd","NA","683","686","144375","153589","155581","144354","143188","49347","155361","144353","155332","153589","NA","155098","89451","143188","NA","EyeTribe Reading Experiment","0","53486","10","no","1680"
"0","0","5598.91666667","5598.91666667","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","5","5","5","5","5","0","5","5","5","5","NA","5","0","5","NA","12/07/18 13:00:36","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","5","5","C:/Users/Admin/Desktop/eyeTribe sentence reading/Friedrich.csv","legacy","Kafkaesque Koffka","3.2.5","a) shabby.","b) fancy.","The neighborhood is:","0","right","NA","space","space","right","2444","NA","48660","11257","2444","2","legacy","1024","2","48000","-16","experiment","8","Mark and Shelley found an apartment in one of the fancy neighborhoods of London.","5","odd","NA","683","686","157200","168461","171360","157178","155674","49347","171136","157178","171121","168461","NA","170906","89451","155673","NA","EyeTribe Reading Experiment","0","67187","12","no","1680"
"0","0","5473.78571429","5473.78571429","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","6","6","6","6","6","0","6","6","6","6","NA","6","0","6","NA","12/07/18 13:00:36","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","6","6","C:/Users/Admin/Desktop/eyeTribe sentence reading/Friedrich.csv","legacy","Kafkaesque Koffka","3.2.5","a) fishing.","b) hiking.","The kids went: ","0","left","NA","space","space","left","2067","NA","48660","7379","2067","2","legacy","1024","2","48000","-16","experiment","1","Tom’s father used to go fishing with his kids until they became vegetarian.","5","odd","NA","683","686","172918","180302","182848","172898","171444","49347","182627","172897","182612","180301","NA","182370","89451","171444","NA","EyeTribe Reading Experiment","0","76633","14","no","1680"
"0","0","5169.375","5169.375","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","7","7","7","7","7","0","7","7","7","7","NA","7","0","7","NA","12/07/18 13:00:36","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","7","7","C:/Users/Admin/Desktop/eyeTribe sentence reading/Friedrich.csv","legacy","Kafkaesque Koffka","3.2.5","a) pigeons.","b) cats.","The old lady feeds:","0","right","NA","space","space","right","1836","NA","48660","4241","1836","2","legacy","1024","2","48000","-16","experiment","2","The strange old lady who usually feeds the cats suddenly disappeared.","5","odd","NA","683","686","184328","188573","190870","184306","182936","49347","190650","184305","190620","188573","NA","190410","89451","182936","NA","EyeTribe Reading Experiment","0","82710","16","no","1680"
"0","0","5491","5491","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","8","8","8","8","8","0","8","8","8","8","NA","8","0","8","NA","12/07/18 13:00:36","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","8","8","C:/Users/Admin/Desktop/eyeTribe sentence reading/Friedrich.csv","legacy","Kafkaesque Koffka","3.2.5","a) No way, I am a dog person.","b) True fact, cats rule the world. ","What is your opinion? ","0","left","NA","space","space","left","8741","NA","48660","7387","8741","2","legacy","1024","2","48000","-16","experiment","7","Some say that the internet was initially created for sharing pictures of cute cats.","5","odd","NA","683","686","192126","199516","208723","192106","190968","49347","208502","192105","208468","199516","NA","208257","89451","190968","NA","EyeTribe Reading Experiment","0","98838","18","no","1680"
"0","0","5289.75","5289.75","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","9","9","9","9","9","0","9","9","9","9","NA","9","0","9","NA","12/07/18 13:00:36","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","9","9","C:/Users/Admin/Desktop/eyeTribe sentence reading/Friedrich.csv","legacy","Kafkaesque Koffka","3.2.5","a) a park.","b) a lake.","The penguins went to:","0","left","NA","space","space","left","2132","NA","48660","4825","2132","2","legacy","1024","2","48000","-16","experiment","3","Several penguins escaped their cages in the zoo and went for a walk in the park.","5","odd","NA","683","686","210304","215133","217716","210281","208811","49347","217495","210281","217479","215133","NA","217266","89451","208811","NA","EyeTribe Reading Experiment","0","105795","20","no","1680"
