"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_key_finish_reading","correct_key_response","correct_response","count_end_of_experiment","count_experiment","count_instructions","count_key_finish_reading","count_key_response","count_logger","count_prepare_show_screen","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_question","count_save_screen","count_screenshot","count_trial_loop","count_trial_sequence","count_wait_for_eyeTribe","datetime","delay_wait_for_eyeTribe","description","disable_garbage_collection","driftX","driftY","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","option_1","option_2","question","repeat_cycle","response","response_end_of_experiment","response_instructions","response_key_finish_reading","response_key_response","response_time","response_time_end_of_experiment","response_time_instructions","response_time_key_finish_reading","response_time_key_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_id","stimulus","subject_nr","subject_parity","time_end_of_experiment","time_experiment","time_instructions","time_key_finish_reading","time_key_response","time_logger","time_prepare_show_screen","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_question","time_save_screen","time_screenshot","time_trial_loop","time_trial_sequence","time_wait_for_eyeTribe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","5515","5515","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","NA","12/07/18 13:05:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","0","0","C:/Users/Admin/Desktop/eyeTribe sentence reading/Sahra.csv","legacy","Kafkaesque Koffka","3.2.5","a) Policemen.","b) Soldiers.","Who was heavily armed?","0","right","NA","space","space","right","4573","NA","45474","6457","4573","2","legacy","1024","2","48000","-16","experiment","6","After the terror attack, heavily armed soldiers patrolled the streets of Paris.","7","odd","NA","700","703","93736","100196","105241","93714","90546","46178","105018","93713","104983","100196","NA","104770","90490","90546","NA","EyeTribe Reading Experiment","0","11030","2","no","1680"
"0","0","4698.75","4698.75","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","1","1","1","1","1","0","1","1","1","1","NA","1","0","1","NA","12/07/18 13:05:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","1","1","C:/Users/Admin/Desktop/eyeTribe sentence reading/Sahra.csv","legacy","Kafkaesque Koffka","3.2.5","a) Fathers.","b) Mothers.","Who shows protective behavior?","0","left","NA","space","space","left","2180","NA","45474","5585","2180","2","legacy","1024","2","48000","-16","experiment","10","They observed that fathers of daughters show a tendency for protective behavior.","7","odd","NA","700","703","108016","113605","116229","107993","105362","46178","116009","107993","115997","113605","NA","115785","90490","105362","NA","EyeTribe Reading Experiment","0","18795","4","no","1680"
"0","0","4589.33333333","4589.33333333","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","2","2","2","2","2","0","2","2","2","2","NA","2","0","2","NA","12/07/18 13:05:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","2","2","C:/Users/Admin/Desktop/eyeTribe sentence reading/Sahra.csv","legacy","Kafkaesque Koffka","3.2.5","a) Yes.","b) No.","Did Joe go to rehab?","0","right","NA","space","space","right","3628","NA","45474","5113","3628","2","legacy","1024","2","48000","-16","experiment","4","Even as Joe’s drug addiction became obvious, he denied having a problem.","7","odd","NA","700","703","117520","122637","126731","117497","116321","46178","126509","117497","126480","122637","NA","126265","90490","116321","NA","EyeTribe Reading Experiment","0","27536","6","no","1680"
"0","0","4373.75","4373.75","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","3","3","3","3","3","0","3","3","3","3","NA","3","0","3","NA","12/07/18 13:05:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","3","3","C:/Users/Admin/Desktop/eyeTribe sentence reading/Sahra.csv","legacy","Kafkaesque Koffka","3.2.5","a) a park.","b) a lake.","The penguins went to:","0","left","NA","space","space","left","2189","NA","45474","5265","2189","2","legacy","1024","2","48000","-16","experiment","3","Several penguins escaped their cages in the zoo and went for a walk in the park.","7","odd","NA","700","703","128248","133516","136169","128225","126819","46178","135949","128225","135920","133516","NA","135705","90490","126819","NA","EyeTribe Reading Experiment","0","34990","8","no","1680"
"0","0","4342","4342","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","4","4","4","4","4","0","4","4","4","4","NA","4","0","4","NA","12/07/18 13:05:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","4","4","C:/Users/Admin/Desktop/eyeTribe sentence reading/Sahra.csv","legacy","Kafkaesque Koffka","3.2.5","a) easily damaged.","b) indestructible.","Young people’s self-esteem is:","0","left","NA","space","space","left","3277","NA","45474","5153","3277","2","legacy","1024","2","48000","-16","experiment","9","Long term unemployment can damage a person’s self esteem, particularly for young people. ","7","odd","NA","700","703","137567","142724","146457","137545","136258","46178","146233","137545","146214","142724","NA","146001","90490","136258","NA","EyeTribe Reading Experiment","0","43420","10","no","1680"
"0","0","4584.83333333","4584.83333333","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","5","5","5","5","5","0","5","5","5","5","NA","5","0","5","NA","12/07/18 13:05:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","5","5","C:/Users/Admin/Desktop/eyeTribe sentence reading/Sahra.csv","legacy","Kafkaesque Koffka","3.2.5","a) No way, I am a dog person.","b) True fact, cats rule the world. ","What is your opinion? ","0","right","NA","space","space","right","5509","NA","45474","6089","5509","2","legacy","1024","2","48000","-16","experiment","7","Some say that the internet was initially created for sharing pictures of cute cats.","7","odd","NA","700","703","148208","154300","160261","148185","146542","46178","160039","148185","160024","154300","NA","159809","90490","146542","NA","EyeTribe Reading Experiment","0","55018","12","no","1680"
"0","0","4493","4493","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","6","6","6","6","6","0","6","6","6","6","NA","6","0","6","NA","12/07/18 13:05:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","6","6","C:/Users/Admin/Desktop/eyeTribe sentence reading/Sahra.csv","legacy","Kafkaesque Koffka","3.2.5","a) shabby.","b) fancy.","The neighborhood is:","0","right","NA","space","space","right","2724","NA","45474","5160","2724","2","legacy","1024","2","48000","-16","experiment","8","Mark and Shelley found an apartment in one of the fancy neighborhoods of London.","7","odd","NA","700","703","163008","168172","171368","162985","160350","46178","171147","162985","171112","168172","NA","170897","90490","160350","NA","EyeTribe Reading Experiment","0","62902","14","no","1680"
"0","0","4375.25","4375.25","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","7","7","7","7","7","0","7","7","7","7","NA","7","0","7","NA","12/07/18 13:05:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","7","7","C:/Users/Admin/Desktop/eyeTribe sentence reading/Sahra.csv","legacy","Kafkaesque Koffka","3.2.5","a) fishing.","b) hiking.","The kids went: ","0","left","NA","space","space","left","1988","NA","45474","5114","1988","2","legacy","1024","2","48000","-16","experiment","1","Tom’s father used to go fishing with his kids until they became vegetarian.","7","odd","NA","700","703","172831","177948","180417","172809","171455","46178","180195","172809","180150","177948","NA","179937","90490","171455","NA","EyeTribe Reading Experiment","0","70004","16","no","1680"
"0","0","4261.83333333","4261.83333333","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","8","8","8","8","8","0","8","8","8","8","NA","8","0","8","NA","12/07/18 13:05:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","8","8","C:/Users/Admin/Desktop/eyeTribe sentence reading/Sahra.csv","legacy","Kafkaesque Koffka","3.2.5","a) math.","b) physics.","I hated:","0","left","NA","space","space","left","1996","NA","45474","4713","1996","2","legacy","1024","2","48000","-16","experiment","5","Although I really hated mathematics in school, I became a decent engineer. ","7","odd","NA","700","703","182015","186732","189174","181993","180520","46178","188953","181992","188939","186732","NA","188729","90490","180520","NA","EyeTribe Reading Experiment","0","76713","18","no","1680"
"0","0","4167.05","4167.05","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","9","9","9","9","9","0","9","9","9","9","NA","9","0","9","NA","12/07/18 13:05:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","9","9","C:/Users/Admin/Desktop/eyeTribe sentence reading/Sahra.csv","legacy","Kafkaesque Koffka","3.2.5","a) pigeons.","b) cats.","The old lady feeds:","0","right","NA","space","space","right","2612","NA","45474","4016","2612","2","legacy","1024","2","48000","-16","experiment","2","The strange old lady who usually feeds the cats suddenly disappeared.","7","odd","NA","700","703","191280","195300","198374","191257","189262","46178","198154","191256","198125","195300","NA","197913","90490","189262","NA","EyeTribe Reading Experiment","0","83341","20","no","1680"
