"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_key_finish_reading","correct_key_response","correct_response","count_end_of_experiment","count_experiment","count_instructions","count_key_finish_reading","count_key_response","count_logger","count_prepare_show_screen","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_question","count_save_screen","count_screenshot","count_trial_loop","count_trial_sequence","count_wait_for_eyeTribe","datetime","delay_wait_for_eyeTribe","description","disable_garbage_collection","driftX","driftY","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","option_1","option_2","question","repeat_cycle","response","response_end_of_experiment","response_instructions","response_key_finish_reading","response_key_response","response_time","response_time_end_of_experiment","response_time_instructions","response_time_key_finish_reading","response_time_key_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_id","stimulus","subject_nr","subject_parity","time_end_of_experiment","time_experiment","time_instructions","time_key_finish_reading","time_key_response","time_logger","time_prepare_show_screen","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_question","time_save_screen","time_screenshot","time_trial_loop","time_trial_sequence","time_wait_for_eyeTribe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","5498","5498","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","NA","12/07/18 13:12:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","0","0","C:/Users/Admin/Desktop/eyeTribe sentence reading/Vladimir.csv","legacy","Kafkaesque Koffka","3.2.5","a) a park.","b) a lake.","The penguins went to:","0","left","NA","space","space","left","3628","NA","42697","7368","3628","2","legacy","1024","2","48000","-16","experiment","3","Several penguins escaped their cages in the zoo and went for a walk in the park.","8","even","NA","677","681","103745","111117","115194","103722","64586","43378","114973","103722","114961","111116","NA","114746","64531","64586","NA","EyeTribe Reading Experiment","0","10996","2","no","1680"
"0","0","4402.25","4402.25","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","1","1","1","1","1","0","1","1","1","1","NA","1","0","1","NA","12/07/18 13:12:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","1","1","C:/Users/Admin/Desktop/eyeTribe sentence reading/Vladimir.csv","legacy","Kafkaesque Koffka","3.2.5","a) math.","b) physics.","I hated:","0","left","NA","space","space","left","2092","NA","42697","4521","2092","2","legacy","1024","2","48000","-16","experiment","5","Although I really hated mathematics in school, I became a decent engineer. ","8","even","NA","677","681","118272","122797","125343","118250","115311","43378","125120","118249","125101","122797","NA","124890","64531","115311","NA","EyeTribe Reading Experiment","0","17609","4","no","1680"
"0","0","4104.83333333","4104.83333333","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","2","2","2","2","2","0","2","2","2","2","NA","2","0","2","NA","12/07/18 13:12:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","2","2","C:/Users/Admin/Desktop/eyeTribe sentence reading/Vladimir.csv","legacy","Kafkaesque Koffka","3.2.5","a) Fathers.","b) Mothers.","Who shows protective behavior?","0","left","NA","space","space","left","2356","NA","42697","4664","2356","2","legacy","1024","2","48000","-16","experiment","10","They observed that fathers of daughters show a tendency for protective behavior.","8","even","NA","677","681","127841","132509","135331","127818","125431","43378","135110","127817","135081","132509","NA","134866","64531","125431","NA","EyeTribe Reading Experiment","0","24629","6","no","1680"
"0","0","3981.25","3981.25","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","3","3","3","3","3","0","3","3","3","3","NA","3","0","3","NA","12/07/18 13:12:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","3","3","C:/Users/Admin/Desktop/eyeTribe sentence reading/Vladimir.csv","legacy","Kafkaesque Koffka","3.2.5","a) Yes.","b) No.","Did Joe go to rehab?","0","right","NA","space","space","right","3244","NA","42697","3977","3244","2","legacy","1024","2","48000","-16","experiment","4","Even as Joe’s drug addiction became obvious, he denied having a problem.","8","even","NA","677","681","137792","141773","145467","137770","135424","43378","145244","137769","145229","141773","NA","145018","64531","135424","NA","EyeTribe Reading Experiment","0","31850","8","no","1680"
"0","0","3770.3","3770.3","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","4","4","4","4","4","0","4","4","4","4","NA","4","0","4","NA","12/07/18 13:12:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","4","4","C:/Users/Admin/Desktop/eyeTribe sentence reading/Vladimir.csv","legacy","Kafkaesque Koffka","3.2.5","a) pigeons.","b) cats.","The old lady feeds:","0","right","NA","space","space","right","2388","NA","42697","3465","2388","2","legacy","1024","2","48000","-16","experiment","2","The strange old lady who usually feeds the cats suddenly disappeared.","8","even","NA","677","681","147624","151093","153950","147602","145557","43378","153727","147601","153693","151092","NA","153481","64531","145557","NA","EyeTribe Reading Experiment","0","37703","10","no","1680"
"0","0","3657.66666667","3657.66666667","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","5","5","5","5","5","0","5","5","5","5","NA","5","0","5","NA","12/07/18 13:12:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","5","5","C:/Users/Admin/Desktop/eyeTribe sentence reading/Vladimir.csv","legacy","Kafkaesque Koffka","3.2.5","a) fishing.","b) hiking.","The kids went: ","0","left","NA","space","space","left","2796","NA","42697","3393","2796","2","legacy","1024","2","48000","-16","experiment","1","Tom’s father used to go fishing with his kids until they became vegetarian.","8","even","NA","677","681","155904","159301","162568","155882","154039","43378","162345","155881","162312","159301","NA","162097","64531","154039","NA","EyeTribe Reading Experiment","0","43892","12","no","1680"
"0","0","3679.5","3679.5","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","6","6","6","6","6","0","6","6","6","6","NA","6","0","6","NA","12/07/18 13:12:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","6","6","C:/Users/Admin/Desktop/eyeTribe sentence reading/Vladimir.csv","legacy","Kafkaesque Koffka","3.2.5","a) Policemen.","b) Soldiers.","Who was heavily armed?","0","left","NA","space","space","left","4276","NA","42697","3345","4276","2","legacy","1024","2","48000","-16","experiment","6","After the terror attack, heavily armed soldiers patrolled the streets of Paris.","8","even","NA","677","681","164384","167733","172471","164361","162656","43378","172249","164361","172225","167733","NA","172009","64531","162656","NA","EyeTribe Reading Experiment","0","51513","14","no","1680"
"0","0","3692.3125","3692.3125","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","7","7","7","7","7","0","7","7","7","7","NA","7","0","7","NA","12/07/18 13:12:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","7","7","C:/Users/Admin/Desktop/eyeTribe sentence reading/Vladimir.csv","legacy","Kafkaesque Koffka","3.2.5","a) shabby.","b) fancy.","The neighborhood is:","0","right","NA","space","space","right","3212","NA","42697","4352","3212","2","legacy","1024","2","48000","-16","experiment","8","Mark and Shelley found an apartment in one of the fancy neighborhoods of London.","8","even","NA","677","681","176249","180605","184284","176226","172559","43378","184060","176225","184029","180604","NA","183817","64531","172559","NA","EyeTribe Reading Experiment","0","59077","16","no","1680"
"0","0","3677.5","3677.5","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","8","8","8","8","8","0","8","8","8","8","NA","8","0","8","NA","12/07/18 13:12:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","8","8","C:/Users/Admin/Desktop/eyeTribe sentence reading/Vladimir.csv","legacy","Kafkaesque Koffka","3.2.5","a) No way, I am a dog person.","b) True fact, cats rule the world. ","What is your opinion? ","0","left","NA","space","space","left","3581","NA","42697","3537","3581","2","legacy","1024","2","48000","-16","experiment","7","Some say that the internet was initially created for sharing pictures of cute cats.","8","even","NA","677","681","187304","190844","194896","187281","184381","43378","194673","187281","194638","190844","NA","194425","64531","184381","NA","EyeTribe Reading Experiment","0","66195","18","no","1680"
"0","0","3640","3640","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","9","9","9","9","9","0","9","9","9","9","NA","9","0","9","NA","12/07/18 13:12:13","NA","eyEdu reading example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Admin\Desktop\eyeTribe sentence reading","no","mono","no","18","no","black","no","yes","1050","legacy","9","9","C:/Users/Admin/Desktop/eyeTribe sentence reading/Vladimir.csv","legacy","Kafkaesque Koffka","3.2.5","a) easily damaged.","b) indestructible.","Young people’s self-esteem is:","0","left","NA","space","space","left","2972","NA","42697","3633","2972","2","legacy","1024","2","48000","-16","experiment","9","Long term unemployment can damage a person’s self esteem, particularly for young people. ","8","even","NA","677","681","197399","201036","204475","197377","194984","43378","204252","197377","204225","201036","NA","204009","64531","194984","NA","EyeTribe Reading Experiment","0","72800","20","no","1680"
