"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_key_finish_reading","correct_key_response","correct_response","count_block_sequence","count_blockloop","count_end_of_experiment","count_experiment","count_instructions","count_key_finish_reading","count_key_response","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_question","count_save_screen","count_trial_loop","count_trial_sequence","datetime","description","disable_garbage_collection","driftX","driftY","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_blockloop","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","option_1","option_2","practice","question","repeat_cycle","response","response_end_of_experiment","response_instructions","response_key_finish_reading","response_key_response","response_time","response_time_end_of_experiment","response_time_instructions","response_time_key_finish_reading","response_time_key_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_id","stimulus","subject_nr","subject_parity","task","time_block_sequence","time_blockloop","time_end_of_experiment","time_experiment","time_instructions","time_key_finish_reading","time_key_response","time_logger","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_question","time_save_screen","time_trial_loop","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","3725","3725","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","07/21/17 13:02:09","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","0","0","0","C:/Users/Sebastian Korinth/Desktop/subject-7.csv","legacy","Jazzy James","3.1.4","a) fishing.","b) hiking.","no","The kids went: ","0","left","NA","space","space","left","2128","NA","64932","5322","2128","2","legacy","1024","2","48000","-16","experiment","1","Tom’s father used to go fishing with his kids until they became vegetarian.","7","odd","0","107432","107426","NA","1372","1381","109495","114825","117208","107495","66313","116978","109257","116955","114824","109259","107432","107495","EyeTribe Reading Experiment","0","7450","2","no","1920"
"0","0","3811.25","3811.25","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","0","1","07/21/17 13:02:09","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","1","0","1","C:/Users/Sebastian Korinth/Desktop/subject-7.csv","legacy","Jazzy James","3.1.4","a) Policemen.","b) Soldiers.","no","Who was heavily armed?","0","right","NA","space","space","right","1959","NA","64932","5836","1959","2","legacy","1024","2","48000","-16","experiment","6","After the terror attack heavily armed soldiers patrolled the streets of Paris.","7","odd","0","107432","107426","NA","1372","1381","118989","124834","127052","117359","66313","126825","118753","126794","124833","118755","107432","117359","EyeTribe Reading Experiment","0","15245","4","no","1920"
"0","0","3717.5","3717.5","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","2","2","2","2","0","2","2","2","2","2","0","2","07/21/17 13:02:09","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","2","0","2","C:/Users/Sebastian Korinth/Desktop/subject-7.csv","legacy","Jazzy James","3.1.4","a) a park.","b) a lake.","no","The penguins went to:","0","left","NA","space","space","left","1752","NA","64932","5308","1752","2","legacy","1024","2","48000","-16","experiment","3","Several penguins escaped their cages in the zoo and went for a walk in the park.","7","odd","0","107432","107426","NA","1372","1381","129605","134921","136949","127232","66313","136721","129369","136673","134921","129370","107432","127232","EyeTribe Reading Experiment","0","22305","6","no","1920"
"0","0","3509.25","3509.25","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","3","3","3","3","0","3","3","3","3","3","0","3","07/21/17 13:02:09","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","3","0","3","C:/Users/Sebastian Korinth/Desktop/subject-7.csv","legacy","Jazzy James","3.1.4","a) shabby.","b) fancy.","no","The neighborhood is:","0","right","NA","space","space","right","2031","NA","64932","3738","2031","2","legacy","1024","2","48000","-16","experiment","8","Mark and Shelley found an apartment in one of the fancy neighborhoods of London.","7","odd","0","107432","107426","NA","1372","1381","139423","143170","145459","137074","66313","145231","139186","145202","143170","139187","107432","137073","EyeTribe Reading Experiment","0","28074","8","no","1920"
"0","0","3792.8","3792.8","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","4","4","4","4","0","4","4","4","4","4","0","4","07/21/17 13:02:09","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","4","0","4","C:/Users/Sebastian Korinth/Desktop/subject-7.csv","legacy","Jazzy James","3.1.4","a) Fathers.","b) Mothers.","no","Who shows protective behavior?","0","left","NA","space","space","left","1668","NA","64932","8186","1668","2","legacy","1024","2","48000","-16","experiment","10","They observed that fathers of daughters show a tendency for protective behavior.","7","odd","0","107432","107426","NA","1372","1381","147791","155989","157914","145565","66313","157689","147553","157658","155988","147555","107432","145565","EyeTribe Reading Experiment","0","37928","10","no","1920"
"0","0","3758.41666667","3758.41666667","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","5","5","5","5","0","5","5","5","5","5","0","5","07/21/17 13:02:09","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","5","0","5","C:/Users/Sebastian Korinth/Desktop/subject-7.csv","legacy","Jazzy James","3.1.4","a) math.","b) physics.","no","I hated:","0","left","NA","space","space","left","1982","NA","64932","5191","1982","2","legacy","1024","2","48000","-16","experiment","5","Although I really hated mathematics in school I became a decent engineer. ","7","odd","0","107432","107426","NA","1372","1381","160410","165611","167838","158026","66313","167610","160178","167594","165611","160179","107432","158026","EyeTribe Reading Experiment","0","45101","12","no","1920"
"0","0","3693.71428571","3693.71428571","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","6","6","6","6","0","6","6","6","6","6","0","6","07/21/17 13:02:09","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","6","0","6","C:/Users/Sebastian Korinth/Desktop/subject-7.csv","legacy","Jazzy James","3.1.4","a) pigeons.","b) cats.","no","The old lady feeds:","0","right","NA","space","space","right","1533","NA","64932","5078","1533","2","legacy","1024","2","48000","-16","experiment","2","The strange old lady who usually feeds the cats suddenly disappeared.","7","odd","0","107432","107426","NA","1372","1381","170419","175508","177301","167956","66313","177068","170177","177043","175507","170179","107432","167956","EyeTribe Reading Experiment","0","51712","14","no","1920"
"0","0","3886.8125","3886.8125","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","7","7","7","7","0","7","7","7","7","7","0","7","07/21/17 13:02:09","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","7","0","7","C:/Users/Sebastian Korinth/Desktop/subject-7.csv","legacy","Jazzy James","3.1.4","a) easily damaged.","b) indestructible.","no","Young people’s self-esteem is:","0","left","NA","space","space","left","4038","NA","64932","6439","4038","2","legacy","1024","2","48000","-16","experiment","9","Especially for young people long-term unemployment can damage a person’s self-esteem.","7","odd","0","107432","107426","NA","1372","1381","179786","186234","190521","177434","66313","190294","179546","190273","186234","179547","107432","177434","EyeTribe Reading Experiment","0","62189","16","no","1920"
"0","0","3872.66666667","3872.66666667","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","8","8","8","8","0","8","8","8","8","8","0","8","07/21/17 13:02:09","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","8","0","8","C:/Users/Sebastian Korinth/Desktop/subject-7.csv","legacy","Jazzy James","3.1.4","a) Yes.","b) No.","no","Did Joe go to rehab?","0","left","NA","space","space","left","2679","NA","64932","4840","2679","2","legacy","1024","2","48000","-16","experiment","4","Even as Joe’s drug addiction became obvious he denied having a problem.","7","odd","0","107432","107426","NA","1372","1381","192721","197570","200499","190639","66313","200270","192482","200251","197570","192483","107432","190639","EyeTribe Reading Experiment","0","69708","18","no","1920"
"0","0","4188.35","4188.35","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","9","9","9","9","0","9","9","9","9","9","0","9","07/21/17 13:02:09","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","9","0","9","C:/Users/Sebastian Korinth/Desktop/subject-7.csv","legacy","Jazzy James","3.1.4","a) No way, I am a dog person.","b) True fact, cats rule the world. ","no","What is your opinion? ","0","left","NA","space","space","left","4190","NA","64932","9869","4190","2","legacy","1024","2","48000","-16","experiment","7","Some say that the internet was initially created for sharing pictures of cute cats.","7","odd","0","107432","107426","NA","1372","1381","203148","213027","217474","200622","66313","217248","202913","217218","213027","202914","107432","200622","EyeTribe Reading Experiment","0","83767","20","no","1920"
